Species,years,place,lat,lon,Description,imag,TRUE,Prediction
Opuntia elata,2006,"Argentina, Salta, Provincia Salta. Valle Calchaquies. El Carmen. En ruta 40 por entrada a Molinos y Angastaco, ca de 4 km al NW de Angastaco.",-25.613222,-66.189964,"Planta erecta con tronco definido, 1.20 cm de alto, 1 m ancho, ramas ascendentes, epidermis glabra; segmentos langeolados, el apice Redondo, 12-16 cm largo, 4-6 cm de ancho, gruesos, verde obscuro; areolas elipticas 3-4 mm largo, 2-3 mm ancho, lana café claro; gloquidasausentes a escazas. Espinas 0-1, subuladas. Flores anaranjadas rotadas, 6-8 cm de diametro. Cultivada como ornamental en frete de casa,",https://serv.biokic.asu.edu/imglib/h_seinet/seinet/DES/DES00063/DES00063856.jpg,1,0
Weberocereus rosei,1935,"Ecuador, Santa Domingo de los Tsachilas, Rio Palanque Research Station; 47 km south of Santo Domingo.",-0.45599,-79.15824,Cultivated in tree and in greenhouse. Fruit bright pink-red.,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/ASU/ASU0054/ASU0054061.jpg,0,0
Cleistocactus icosagonus,1937,"Ecuador, Azuay, 8 km due ENE of Santo Isabel.",-3.266667,-79.316667,"Decumbent. 1620 m Flowers pink, anthers cream-white, filaments suffused with pink above, style white, stigma light green.",https://serv.biokic.asu.edu/imglib/h_seinet/seinet/ASU/ASU0052/ASU0052542.jpg,0,0
Echinocereus triglochidiatus var. triglochidiatus,1998,"United States, Colorado, Delta, Northern Gunnison Basin. N of Youngs Peak, ca 3/4 air mi N of Crawford.",38.7151383,-107.6005294,,https://botanydb.colorado.edu/COLO_V/00579/00579540.jpg,1,0
Cylindropuntia hystrix,2018,"Cuba, Guantanamo, San Antonio del Sur, Lomas al norte de la Bahia de Baitiquiri, San Antonino del Sur",20.01906,74.88063,"Plantas escasas cientos de individuos; los tallos terminales desprendiendo fácilamente formando nuevos clones; las vainas doradas iluminadas en el sol, asi que las plantas formando parches dorados en el paisaje; frutos verdes a amarillentos, estériles y aveces formando cadenas, aveces con espinas gloquidoidios (i.e. caducos)",https://serv.biokic.asu.edu/imglib/h_seinet/seinet/DES/DES00085/DES00085937.jpg,0,0
Rhipsalis baccifera subsp. baccifera,2014,"United States, Florida, Hillsborough Co., University of South Florida Botanical Gardens, University of South Florida Botanical Gardens, SE side of Lak",28.0581,-82.4244,,https://cdn.plantatlas.org/img/specimens/USF/276372.jpg,0,0
Copiapoa tocopillana,1987,"Chile, Tocopilla, Town: Tocopilla; top of coastal mountain north of Mina Esperanza. Plant separate.",-22.13333,-70.16666,,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/DES/DES00046/DES00046817.jpg,0,0
Eriosyce odieri subsp. odieri,1982,"Chile, 10 km N on the coast (Neoporto?)",-27.8,-71.066667,,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/DES/DES00040/DES00040386.jpg,0,0
Echinocereus enneacanthus subsp. brevispinus,2009,"USA, Texas, Val Verde, 1km south of the Pecos River and 1km north of the Río Grande, ESE of Langtry",29.8,-101.45,"Flowers purple; flower buds collected in meiosis 13 June 2005 after remaining dormant for several weeks; individual in cultivation at Chino Valley, Arizona; stems and flowers collected 2005; n=11 during meiosis of microgametogenesis from same cultivated individual.",https://serv.biokic.asu.edu/imglib/h_seinet/seinet/ASU/ASU_Plants/ASU0079/ASU0079937.jpg,0,0
Opuntia azurea var. diplopurpurea,1977,"USA, Texas, Brewster, Sul Ross Hill, Alpine.",30.36649,-103.64723,,http://storage.idigbio.org/portals/seinet/ngreatplains/SRSC/201602/DSC_1282_1455824527.jpg,0,0
Pereskia lychnidiflora,1990,"Honduras, Choluteca, 3.1 mi toward Orocuina (N) from turnoff at W edge of Chulteca",13.351667,-87.171111,"3-8 m tall, straight-trunked, often flat-topped branches often horizontal and +- whorled. Dense dark green leave cover, showy orange flower. Inner tepals orange, filaments very pale pink",https://serv.biokic.asu.edu/imglib/h_seinet/seinet/DES/DES00036/DES00036828.jpg,0,0
Eriosyce limariensis,1977,"Chile, Valle de Encanto State Park",-30.7,-71.35,form Socos,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/DES/DES00036/DES00036884.jpg,1,0
Echinopsis pampana,1994,"Peru, Arequipa, 22 km eastnortheast of Arequipa along Hwy 30, at km 72.",-16.40128,-71.36833,"Frequent, often many headed, growing up against rocks, plants with large tap roots.",https://serv.biokic.asu.edu/imglib/h_seinet/seinet/ASU/ASU0069/ASU0069686.jpg,0,0
Opuntia cylindrica,1985,"Ecuador, Pichincha, 5 km east of Rio Guayabanba, just east of Guayabanba.",-0.05,-78.3833,"Shrub 1-2 m tall: fruit abundant, not chaining, light yellow-green; spines light straw-colored; flowers pale purple-red, tepals erect, thickened, stigma and anthers cream-white; fruits falling and forming new plants; leaves 2-3 mm long in dry area and 10-12 mm long in wet areas.",https://serv.biokic.asu.edu/imglib/h_seinet/seinet/ASU/ASU0058/ASU0058973.jpg,1,0
Leuchtenbergia principis,1971,"Mexico, Coahuila, West of Saltillo. 0.7 mi N of Hipolito jct. Small ridge east of highway.",25.689461,-101.4011,,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/ASU/ASU0054/ASU0054100.jpg,0,0
Tephrocactus aoracanthus,2010,"Chile, San Juan, Originally received into the DBG living collection as a plant as part of the Chilean Cacti Collection donated by Fred Katterman and o",-31.552325,-68.670497,"Plant height ca 40 cm; stems globose, blue-gray-green; spines black or dark gray or gray, long ca 43-104 mm, reflexed; flowers collected in the afternoon, diameter 40-76 mm, length 56-65, outer perianth white with a green midstripe, inner perianth with with a pinkish midstripe, spines on flowers, nectar glands present; stigma lobe number 5, white; style white; filaments white at top and green at base.",https://serv.biokic.asu.edu/imglib/h_seinet/seinet/DES/DES00068/DES00068912.JPG,1,0
Cleistocactus sepium var. morleyanus,1900,"Ecuador, Chimborazo, Estación Chanchan, Huigra km 0-3 along railroad.",-2.283333,-78.983333,,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/ASU/ASU0052/ASU0052563.jpg,0,0
Opuntia nemoralis,2011,"USA, Louisiana, De Soto, Stonewall, Circa 2.1 mi NE of Stonewall, and 1.4 mi E of Hwy 171.",32.30761,-93.8047,"Small shrubs, thousands of plants throughout barren forming, in some cases, giant clumps to 40 cm high, and up to 8 or more cladodes deep, from the action of disarticulating cladodes, tuberous rooted, fruit red, inner tepals entirely yellow and stigmas light green (flowered in cultivation), 2n=44.",,0,0
Stenocereus yunckeri,1990,"Honduras, Yoro, 4 kilometers W of Olanchito on road to San Jose and Coyoles.",13.510306,-87.12475,"Locally common. Trees (6?) to 9 or 10 m tall; branched from 1 to 1.5 m about ground with moderate secondary branching but crown not crowded. Flowering branches slightly longer-spined and narrower than sterile branches. Faint white annual growth-marks on the dark green surfaces of some stems. Flowers and fruits are from the distal 1 to 4 dm of the stems. Fruit not eaten by the residents, green and fuzzy outside, pure white inside; floral remnant persistent. Bruises and cut surfaces redden immediately and blacken in minutes. Pith and cortex firm and not visibly mucilaginous.",https://serv.biokic.asu.edu/imglib/h_seinet/seinet/DES/DES00036/DES00036838.jpg,0,0
Maihueniopsis nigrispina,2004,"Chile, Region 1, Tarapaca, Along road Cariquima to Colchane, about 5 km NW of Cariquima.",-19.446722,-68.649722,"Plants 5-10 cm tall, 5-15 cm in diameter, branches erect, purplish. Fruit dark purple when ripe.",https://serv.biokic.asu.edu/imglib/h_seinet/seinet/DES/DES00064/DES00064685.jpg,0,0
Opuntia guilanchi,2011,"Mexico, Aguascalientes, Pabellon de Hidalgo, Pabellon de Arteaga",22.169889,-102.348472,,http://db.herbarium.arizona.edu/images/ARIZ/ARIZ/00425/ARIZ425877_lg.jpg,0,0
Cylindropuntia californica subsp. parkeri,2015,"United States, CALIFORNIA, San Bernardino County, Lytle Creek, 15km NW of central San Bernardino, 300m SE of Nealeys Corner at the intersection of Lyt",34.1865,-117.4361,Infrequent shrub but at least four individuals locally.,,0,0
Disocactus schrankii,2001,"Mexico, Mexico, Nanchititla, Temascaltepec.",18.909214,-100.445079,Pitaya.,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/DES/DES00003/DES00003819.jpg,1,0
Disocactus nelsonii,1987,"Mexico, Chiapas, Mpio. de San Cristobal de Las Casas. Santa Cruz en San Filipe.",16.75,-92.633333,Planta trepadora de 4 m con flores amarilla y frutos verdes.,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/ASU/ASU0069/ASU0069690.jpg,0,0
Opuntia penicilligera,1988,"Argentina, Mendoza, Tunuyan, between Tunuyan and El Manzana.",-33.571167,-69.013214,,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/ASU/ASU0064/ASU0064151.jpg,0,0
Cylindropuntia x viridiflora,2008,"USA, Utah, San Juan County, Along San Juan River, north side, upstream from San Juan Hill, ca 50 yards in front of River House Ruin, 12 S 616416 E, 41",37.221217,-109.6885,"Rare, one plant, ca 1 m tall, much branched, growing amongst tamarix, fruits deeply tuberculate, green becoming yellow towards top with maturity, fruits 30(l)x20(w) mm, 36x18 mm, 40x16 mm, 38x22 mm, 38x20 mm, 37x19 mm. Flowers collected 17, 21, 23 April 2009 late afternoon by Joni Ward, Andrew Salywon and Wendy Hodgson: flowers 52, 56-58, 63 mm long, 45, 48, 49, 54 mm diameter, outer perianth wine colored to pink with reddish green midstripe, inner perianth pink to wine colored with green at base and tan-pink margins, filaments chartreuse green becoming pink-magenta distally, anthers yellow, style cream-white, stigma lobes yellow, 5, 7, 8; ovary (hypanthium/pericarp) dark green, large, thick and succulent, drying quickly; fruit collected 17 April 2009, dry, tan, 30(l)x18(w) mm, 22x16 mm, appearing sterile.",https://serv.biokic.asu.edu/imglib/h_seinet/seinet/DES/DES00062/DES00062235.jpg,0,0
Cereus diffusus,1985,"Ecuador, El Oro, Near Abanin, 50 km E of Machala.",-3.31667,-79.58333,"4 m tall, branching at one-third from base; flowers whitish; mature fruit dark purple-green to light green.",https://serv.biokic.asu.edu/imglib/h_seinet/seinet/ASU/ASU0053/ASU0053731.jpg,0,0
Opuntia martiniana,2017,"USA, Arizona, Mohave County, Pass between Peacock and Hualapai Mountains, north bajada of Hualapai Mountain, 24km (15mi) ESE of Kingman, 11km ESE of R",35.1742,-113.7853,"Frequent trailing shrub generally less than 0.5m tall; near type localities for O. macrocentra Engelmann var. martiniana L. Benson. and O. superbospina Griffiths; flowers golden yellow, inner tepals with pale beet-color along midrib, stigma pale green, Style very pale green, abruptly truncated (see also Baker 16782, 16783, 16788, 16798, 16798.2, 16925, 16926, 16927; individuals transplanted to outside garden, Chino Valley, Arizona.",https://serv.biokic.asu.edu/imglib/h_seinet/seinet/ASU/ASU0078/ASU0078815.jpg,1,0
Opuntia x carstenii,2003,"Mexico, Coahuila, Mpio. de Saltillo. 16.5 km S of Carneros and 1.5 km S of Guadalupe Victoria, 0.25 km W of Hwy 54, Saltillo-Zacatecas.",24.9827,-101.087,"shrubs, .30 - .40 m tall, 1.0 -1.5 m in diameter; branches prostrated with 3-7 stem segments.  Pads orbicular, 12-16 (-21( cm in diameter, 1-1.5 cm thick glabrous, gray-green.  Paristachies 10-13, the areoles 1-1.7 cm apart.  Areoles elliptical to round, 3.5-4.5 mm long, 2.5-3.5mm wide; wool white aging dark gray, in lower half of areole.  Glochids yellow to redish aging dark brown, 2-4 mm long, in apical tuft and a few surrounding the wool. Spines acicular, 0-3 (-4) present in upper third and edge of pads, .5-1.5 (-2) cm long, initially redish turning gray with age, central spines erect; 0-1; radial spines 0-4 ascendent to depressed. Flower: 6-6.5 mm long, dark orange to red; pericarp 4.3 -4.5 cm long, 2-2.3 cm in diameter, light green, tubercled; areoles elliptical, 2.3-3 mm long, the glochids reddish, in apical bundle, 3-5 mm long; outer tepals linear to triangular, 10-21 mm long, 4-6 mm wide, bright red, entire, the apex acute; inner tepals broadly lanceolete, 20-5 mm long, 8-9 mm",https://serv.biokic.asu.edu/imglib/h_seinet/seinet/ASU/ASU0019/ASU0019078.jpg,1,0
Echinocereus reichenbachii var. perbellus,1961,"United States, New Mexico, Eddy, N/A",32.38543352,-104.1860203,15 ribs.,,0,0
Opuntia superbospina,1979,"USA, Arizona, Mohave County, SE of Santa Claus, AZ; near end of Chico Mine Road; southeast of mine tailings",35.3367,-114.216,Ca. 1m tall,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/ASU/ASU0052/ASU0052486.jpg,0,0
Opuntia decumbens,2008,"Mexico, Puebla, Zapotitlan, Zapotitlan",18.41276,-97.42615,,http://db.herbarium.arizona.edu/images/ARIZ/ARIZ/00426/ARIZ426220_lg.jpg,0,0
Opuntia ochrocentra,2010,"USA, Florida, Monroe, Florida Keys: Big Munson Island; owned by Boy Scouts of America.",24.62257,-81.39344,"1 large sprawling shrub to 50 cm tall, spines yellow turning white with age, no fruit seen, some cladodes affected by Cactoblastis cactorum; flowers yellow, fruit purple (flowered and fruited in cultivation), 2n=55 (Majure et al. 2012).",,0,0
Cylindropuntia fosbergii,2013,"USA, California, San Diego, Box Canyon 70km ENE of central San Diego",33.017784,-116.439429,"Shrub to 2 m tall, several ""individuals"" locally; n = 33/2 during meiosis of microgametogenesis from bud collected in the field",https://serv.biokic.asu.edu/imglib/h_seinet/seinet/ASU/ASU0078/ASU0078782.jpg,1,0
Coryphantha vivipara var. vivipara,2018,"United States, Nevada, Lincoln, Basin and Range National Monument. White River Drainage; along Old White River Road. ~0.2mi by air north of John Wrigh",37.712649,-115.155354,Perennial to 10cm. Stem ovoid. Corolla pink-magenta.,http://storage.idigbio.org/portals/seinet/intermt/ENLC/201901/GG3537_Coryphantha_vivipara_3f_1547842769.jpg,1,0
Coryphantha longicornis,2012,"Mexico, Durango, Indé, A 1 km aprox. de Palmito",25.616389,-105.000278,"Suculenta, diámetro de 5.75, longitud 6 cm; espinas 1-3 centrales, la dominante hacia abajo, 10-13 radiales, con flor reminiscente, fruto de campo.",https://serv.biokic.asu.edu/imglib/h_seinet/seinet/DES/DES00083/DES00083938.jpg,0,0
Opuntia megarhiza,2000,"Mexico, San Luis Potosi, Mpio. de Armadillo de los Infante. Zona Media; 5 km al N de Los Gomez, sobre carretera a Armadillo de los Infante; 8 km al no",22.18389,-100.6333,"Plantas bianuales, de 15 cm de altura. Cuadrante de estudio Los Gomez. 16 plantas etiquetadas en Agosto de 1999 solo 8 plantas aun contaban con etiquetas; varias etiquetas fueron encontradas arrancadas y tiradas en el suelo, por lo que no se pudo continuar con la medición de plantas presentes. Varias plantas nuevas se encontraron dentro del cuadrante que no habian sido detectadas antes.",https://serv.biokic.asu.edu/imglib/h_seinet/seinet/ASU/ASU0058/ASU0058358.jpg,0,0
Peniocereus marianus,2019,"Mexico, Sonora, Guaymas, Guaymas, Cerro El Vigía (microondas mountain).",27.94292,-110.90227,"Shrub-sized cactus, 1.5 m; stems 4-angled, grayish; 4 open flowers and 20 buds; tepals white. Flowers partially open at 3:15 p.m. in shade of ridgeline, fully open by 4:30 p.m. and visited by honeybees.",http://storage.idigbio.org/portals/seinet/arizona/SEINet/201904/Cactaceae-Peniocereusmarianus-_1555249989.jpg,1,0
Mammillaria heyderi subsp. heyderi,2018,"USA, New Mexico, Hidalgo County, Foothills of Little Hatchet Mountains, eastern side, on Hidalgo-Grant County border.",31.861072,-108.426227,"Rare, growing under Parthenium against limestone rock, with milky sap, 15 mm above ground, 85 mm total height, 110 mm wide, tubercles dark green, flower (one observed) 17 mm high x 18 mm wide, inner tepal 11 mm long x 2.5 mm wide, oblanceolate, outer and inner tepals cream with pink-green midstripe, filaments light cream basal 1/2, light pink distal 1/2, anthers cream, style light pink, stigma lobes 8, light green, fruit 12.5 mm long x 8.5 mm wide, 24x9.5 mm, 18x8.5 mm, 19x9 mm, 20x9 mm, pinkish-red to red, juicy, seeds red-brown(?).",https://serv.biokic.asu.edu/imglib/h_seinet/seinet/DES/DES00086/DES00086943.jpg,1,0
Rhipsalis oblonga,1961,"Brazil, Guanabara, Estrada da Vista Chinesa, km 3.",-22.866667,-47.05,Flores brancas.,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/DES/DES00004/DES00004297.jpg,0,0
Cylindropuntia leptocaulis x whipplei,1992,"USA, Arizona, Yavapai, 0.7 km ESE of the confluence of the Verde River with Sycamore Creek.",34.8625,-112.0709,"Infrutescence prostrate; flowers dark violet to dark blue-violet; dense shrub 4 dm tall; 1 m broad, stems gray-green, spines pale red-brown, sheaths very pale red-brown, dark toward tip; flower buds not open yet, generally less mature than O. whipplei buds nearby, fruit generally green, sometimes yellow; 1 plant seen. n=11 from microsporogenesis; 10 fruit w/0 seeds, 1 w/2, 1 w3, 1w/4, 1w/8.",https://serv.biokic.asu.edu/imglib/h_seinet/seinet/ASU/ASU0294/ASU0294813.jpg,1,0
Opuntia keyensis,1909,"United States of America, Florida, Boot Key",24.697086,-81.099796,,http://storage.idigbio.org/portals/seinet/mam/NY/00385/webmedia_1473311571_web.jpg,0,0
Mammillaria saboae var. haudeana,2008,"Mexico, Sonora, La Otra Banda Pima Indian community across Arroyo El Toro from Yécora.",28.367083,-108.916333,"Locally very common pebble cactus on Báucarit Formation volcanic mudflow barrens . Maximum density: 64-165 heads/m3 (4 plots), heads: 3-16 mm diam. (av. 7.7 mm, n=100); 1-5/plant (23 heads/7 plants).",https://serv.biokic.asu.edu/imglib/h_seinet/seinet/ASU/201111/ASU0059657-1.jpg,0,0
Grusonia densispina,2015,"United States, TEXAS, Brewster County, Big Bend National Park, 2.4km NNW of Solis Landing, 1.4km NW of Solis (historic) at the Mexican border, 152km S",29.0646,-103.1138,"Originally collected by Joselyn Fenstermacher 2215 9 January 2007, SW of turnoff [to Solis], low, gravel hill north of higher hill, just above small drainage bed, probably gypsiferous soil; material planted in greenhouse pot, Chino Valley, Arizona; somewhat ill-scented; flower photographed and collected 1 August 2015, style damaged, pollen-fertile; another flower photographed and collected 8 August 2015, filaments pale green below, yellow midway, and pale purple-red above; flower collected 26 July 2016 and another 31 July 2016; bud collected during meiosis of microgametogenesis 31 July 2016; flower collected 1 August 2016 and another 6 August 2016; n=22 during meiosis of microgametogenesis.",https://serv.biokic.asu.edu/imglib/h_seinet/seinet/ASU/ASU0300/ASU0300104.jpg,1,0
Harrisia gracilis,2011,"Jamaica, Middlesex Co., Clarendon Par., Harris Savannah.",17.8833,-77.1833,,http://storage.idigbio.org/portals/seinet/sernec/USF/00259/259308_1551078553_web.jpg,1,0
Mammillaria pottsii,1968,"Mexico, Coahuila, Cuatro Ciénegas Basin. Puerto San Marcos about 3 miles south of Rancho San Marcos.",26.74781399,-102.1540546,,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/ASU/ASU0053/ASU0053674.jpg,0,0
Eriosyce senilis subsp. coimasensis,1982,"Chile, Chile, A. Hoffmann",-32.95,-70.766667,,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/DES/DES00040/DES00040382.jpg,1,0
Pereskiopsis blakeana,2001,"Mexico, Sinaloa, Culiacan, Sindicatura de Baila, Â¦ 2.5 km de la carr. Mex. 15, por la carr. que conduce al cerro de microondas Culagua, a 600 m al W",25.01167,-106.9967,,http://db.herbarium.arizona.edu/images/ARIZ/362/ariz362021.jpg,0,0
Mammillaria tezontle,1989,"Mexico, San Luis Potosi, San Luis Potosi: Villa Hidalgo: km 32.5 #57, NE of San Luis Potosi",22.37833,-100.78,extirpated,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/DES/DES00051/DES00051608.jpg,1,0
Grusonia vilis,2008,"Mexico, Zacatecas, Mpio. de Mazapil. San Juan de los Cedros (Ex Hacienda de Cedros).",22.6725,-101.5839,"Plantas cespitosas, de 30 cm de diametro por 10 cm de alto; segmentos del tallo cilindricos, obovados, 3-4 cm de largo, desprendióles, verde obscuro a grisáceo, formando cadenas hasta de 8 segmentos, reptantes; tubérculos 1-1.5 cm de largo por 0.5 cm de alto; areolas elipticas 3-4 mm x 3 mm; lana blanca pasando a grisacea; gloquidas numerosas dispuestas en la mitad superior de la areola, amarillentas, hasta de 6 mm de largo en ápice de segmentos; vaina papiracea en la punta de espinas; espinas aciculadas con base triangular, asperas, rigidas hasta 4.5 cm de largo, 1 central y hasta 12 radiales; fruto claviforme, 2.5 cm de largo x 1.2 cm de diámetro; areolas con gloquidas cortas.",https://serv.biokic.asu.edu/imglib/h_seinet/seinet/ASU/ASU0054/ASU0054219.jpg,0,0
Opuntia macracantha,1902,"United States, Texas, El Paso, El Paso and vicinity",31.75872,-106.486931,,/imglib/seinet/mam/PH/PH00777/PH00777392_1581451914_web.jpg,0,0
Echinocereus stramineus var. stramineus,1983,"United States, Texas, Brewster, Big Bend National Park; 0.5 mile NE of Lower Tornillo Creek on road from Rio Grande Village to Panther Junction",29.186111,-103.008333,Scattered clumps,http://storage.idigbio.org/portals/seinet/midwest/IND/IND-0091/IND-0091752_1496956216_web.jpg,1,0
Echinocereus fitchii,1980,"United States of America, Texas, Laredo.",27.545766,-99.51681,,http://storage.idigbio.org/portals/seinet/midwest/misc/201504/webmedia_1429867632_web.jpg,0,0
Mammillaria melanocentra,1993,"Mexico, Cultivated at Desert Botanical Garden, 33 deg 27'33'' N, 111 deg 56'35'' W, ca 1200 feet, accession number 1958 6255 0101, originally received",32.357937,-116.83869,"Flower diameter 24-30 mm, length 20-24 mm, stigma number 7-8, stigma color light green, outer perianth color white with pale brownish-purple mid-stripe, inner perianth color white with brownish-purple mid-stripe; style color pink; nectar clear and viscous; milky, sticky sap present upon flower collection.",https://serv.biokic.asu.edu/imglib/h_seinet/seinet/DES/DES/DES00042/DES00042301.jpg,1,0
Eriosyce krausii,1982,"Chile, Pta. Los Lobos",-26.95,-70.75,,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/DES/DES00040/DES00040371.jpg,1,0
Cylindropuntia californica subsp. californica,2008,"USA, California, San Diego, Florida Canyon: E side of Florida Canyon, N of intersection 26th St. & Pershing Dr. and S of Bob Wilson Dr. and Florida Dr",32.7239,-117.1428,Perennial with red tinged yellow flowers; 4-5 colonies seen.,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/ASU/ASU0297/ASU0297737.jpg,1,0
Opuntia abyssi,1991,"USA, Arizona, Mohave County, Peach Springs Canyon",35.7473,-113.363,"Flowers green-yellow, filaments yellow; spines white, suffused with red-brown, especially toward base; sheaths translucent white",,0,0
Eriosyce villosa,1979,"Chile, 1 kilometer E of, in rock crevices.",-28.466667,-71.233333,form  cephalophora  subs. Neoporteria,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/DES/DES00037/DES00037074.jpg,1,0
Eriosyce garaventae,1994,"Chile, Valparaiso, Near the top of Cerro Campana",-32.083333,-71.116667,,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/DES/DES00037/DES00037059.jpg,0,0
Pilosocereus arrabidae,1959,"Brazil, Guanabara, Avenida Litoranea.",-22.866667,-47.05,,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/DES/DES00004/DES00004294.jpg,0,0
